parsT,pars,vv,binjan,aspect,tijd,toestand,stam,vorm,modus,persoon,geslacht,getal,status,extra
A-MME,A-MME,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M,M,E,NULL
P-2VE,P-2VE,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,V,E,NULL,NULL
W-Hp-Ip-2VE,W-GOVRA-2VE,W,Hp,Ip,G,O,V,R,A,2,V,E,NULL,NULL
W-Hp-Ju-3VE,W-GGVRW-3VE,W,Hp,Ju,G,G,V,R,W,3,V,E,NULL,NULL
P-1OM,P-1OM,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,O,M,NULL,NULL
W-Et-Pf-3ME,W-GHVRA-3ME,W,Et,Pf,G,H,V,R,A,3,M,E,NULL,NULL
W-Qa-Pp-VMC,W-GGGPD-VMC,W,Qa,Pp,G,G,G,P,D,NULL,V,M,C,NULL
W-Pi-Im-2ME,W-GGVAG-2ME-P,W,Pi,Im,G,G,V,A,G,2,M,E,NULL,P
W-Hp-Im-2VE,W-GGVRG-2VE,W,Hp,Im,G,G,V,R,G,2,V,E,NULL,NULL
W-Pu-In,W-GGVPO,W,Pu,In,G,G,V,P,O,NULL,NULL,NULL,NULL,NULL
W-Ni-Co-1OM,W-GGGOV-1OM,W,Ni,Co,G,G,G,O,V,1,O,M,NULL,NULL
W-Po-Pa-MEC,W-GGVAD-MEC,W,Po,Pa,G,G,V,A,D,NULL,M,E,C,NULL
W-Hs-Co-1OM,W-GGCRV-1OM,W,Hs,Co,G,G,C,R,V,1,O,M,NULL,NULL
W-Hs-Ic-1OE,W-VGCRA-1OE,W,Hs,Ic,V,G,C,R,A,1,O,E,NULL,NULL
W-Hs-Ic-3ME,W-VGCRA-3ME,W,Hs,Ic,V,G,C,R,A,3,M,E,NULL,NULL
W-Hs-Ic-3MM,W-VGCRA-3MM,W,Hs,Ic,V,G,C,R,A,3,M,M,NULL,NULL
W-Hs-Ic-3VE,W-VGCRA-3VE,W,Hs,Ic,V,G,C,R,A,3,V,E,NULL,NULL
W-Hs-Ic-3VM,W-VGCRA-3VM,W,Hs,Ic,V,G,C,R,A,3,V,M,NULL,NULL
W-Hs-Im-2MM,W-GGCRG-2MM,W,Hs,Im,G,G,C,R,G,2,M,M,NULL,NULL
W-Hs-Im-2VE,W-GGCRG-2VE,W,Hs,Im,G,G,C,R,G,2,V,E,NULL,NULL
W-Hs-In,W-GGCRO,W,Hs,In,G,G,C,R,O,NULL,NULL,NULL,NULL,NULL
W-Hs-Ip-1OE,W-GOCRA-1OE,W,Hs,Ip,G,O,C,R,A,1,O,E,NULL,NULL
W-Hs-Ip-1OM,W-GOCRA-1OM,W,Hs,Ip,G,O,C,R,A,1,O,M,NULL,NULL
W-Hs-Ip-2ME,W-GOCRA-2ME,W,Hs,Ip,G,O,C,R,A,2,M,E,NULL,NULL
W-Hs-Ip-2MM,W-GOCRA-2MM,W,Hs,Ip,G,O,C,R,A,2,M,M,NULL,NULL
W-Hs-Ip-3ME,W-GOCRA-3ME,W,Hs,Ip,G,O,C,R,A,3,M,E,NULL,NULL
W-Hs-Ip-3MM,W-GOCRA-3MM,W,Hs,Ip,G,O,C,R,A,3,M,M,NULL,NULL
W-Hs-Ju-3ME,W-GGCRW-3ME,W,Hs,Ju,G,G,C,R,W,3,M,E,NULL,NULL
