vidvan,vidtot,textid,referentie
9015022,9015022,109,1501
40002022,40002022,109,1503
40002023,40002023,109,1503
23062003,23062005,109,1507
7009013,7009013,109,1507
24031031,24031033,109,1507
2012015,2012015,109,1509
46005010,46005010,109,1509
51003005,51003005,109,1509
58010005,58010010,109,1510
43003010,43003010,109,1511
43014002,43014002,109,1511
43021017,43021017,109,1511
43001047,43001047,109,1511
43013011,43013011,109,1511
43004017,43004017,109,1511
43005006,43005006,109,1511
43021017,43021017,109,1511
26036026,26036026,109,1514
47005017,47005017,109,1514
47005018,47005018,109,1514
43007050,43007050,109,1516
43019039,43019039,109,1516
24002002,24002002,109,1522
24031032,24031032,109,1522
26016003,26016003,109,1522
26016015,26016015,109,1522
26016059,26016060,109,1522
24003008,24003016,109,1522
5024001,5024004,109,1522
24003001,24003014,109,1522
24031031,24031037,109,1522
28003005,28003005,109,1522
66021002,66021009,109,1522
66021024,66021024,109,1522
43005029,43005029,109,1522
47005019,47005019,109,1525
23055001,23055001,109,1530
66011015,66011015,109,1536
45008003,45008003,109,1541
24031033,24031034,109,1541
26011017,26011020,109,1543
58004009,58004009,109,1544
43011025,43011025,109,1547
43011026,43011026,109,1547
66020006,66020006,109,1550
66020012,66020012,109,1551
43008014,43008014,109,1552
43007052,43007052,109,1553
43009012,43009012,109,1553
43002001,43002001,109,1557
43004046,43004046,109,1557
43005002,43005002,109,1557
66006006,66006006,109,1557
40004004,40004004,109,1557
30009013,30009013,109,1557
23011009,23011011,109,1557
43001001,43001001,109,1557
41008001,41008009,109,1557
43012012,43012016,109,1559
45014017,45014017,109,1559
40027025,40027025,109,1560
66020002,66020002,109,1560
40025031,40025046,109,1560
66011015,66011015,109,1560
19078023,19078025,109,1561
3023001,3023044,109,1572
4028016,4028016,109,1572
4029001,4029040,109,1572
5016001,5016022,109,1572
16008013,16008018,109,1572
38014016,38014019,109,1572
5016015,5016016,109,1572
43013033,43013033,109,1578
43008011,43008011,109,1584
43008001,43008011,109,1584
2033020,2033020,109,1591
50002007,50002007,109,1591
43012040,43012040,109,1594
58009026,58009026,109,1594
45011032,45011032,109,1596
43012040,43012040,109,1597
44004013,44004013,109,1600
50001029,50001029,109,1601
9017036,9017036,109,1605
19095007,19095007,109,1605
19007041,19007041,109,1605
43021020,43021020,109,1605
43021013,43021013,109,1605
43021001,43021001,109,1605
23040011,23040011,109,1605
24023001,24023004,109,1605
26034001,26034024,109,1605
43021016,43021016,109,1605
40002006,40002006,109,1605
66002027,66002027,109,1605
66012005,66012005,109,1605
43019015,43019015,109,1605
58013020,58013020,109,1608
60001001,60001001,109,1609
2021006,2021006,109,1611
2022008,2022009,109,1611
19082006,19082006,109,1611
18001006,18001006,109,1611
47004004,47004004,109,1611
19082008,19082008,109,1611
2012027,2012027,109,1628
