id,Heb,translit,Hebz,stamgegevens,parent,vergelijk,taal
1498,שׁמם,s<sup>h</sup>ámam,שממ,WOESTENIJ,NULL,NULL,H
1499,שׁם,s<sup>h</sup>-m,שמ,DAAR,NULL,NULL,H
1500,שׁם,s<sup>h</sup>-m,שמ,NAAM,NULL,NULL,H
1501,שׁמים,s<sup>h</sup>-m-j-m,שמימ,HEMEL,NULL,NULL,H
1502,כמז,k-m-z,כמז,SAMENBUNDELEN,NULL,NULL,H
1503,זמם,zámam,זממ,BERAMEN,NULL,NULL,H
1504,זמם,zámam,זממ,NEUSRING,NULL,NULL,H
1505,נטע,náta<sup>ʕ</sup>,נטע,PLANTEN,NULL,NULL,H
1506,שׁדם,s<sup>h</sup>-d-m,שדמ,EFFEN,NULL,NULL,H
1507,טוח,tu<sup>c</sup>h,טוח,PLEISTEREN,NULL,NULL,H
1508,נגן,nágan,נגנ,TOKKELEN,NULL,NULL,H
1509,נעם,ná<sup>ʕ</sup>am,נעמ,AANGENAAM,NULL,NULL,H
1510,נכל,nác<sup>h</sup>al,נכל,LIST,NULL,NULL,H
1511,קטף,qátaf,קטפ,AFPLUKKEN,NULL,NULL,H
1512,נתשׁ,ná-t<sup>h</sup>as<sup>h</sup>,נתש,ONTWORTELEN,NULL,NULL,H
1513,בזא,bázá<sup>ʔ</sup>,בזא,DOORSNIJDEN (rivier),NULL,NULL,H
1514,בזז,bázaz,בזז,BUITMAKEN,NULL,NULL,H
1515,בוז,buz,בוז,VERACHTEN,NULL,NULL,H
1516,כסם,kásam,כסמ,KORTKNIPPEN,NULL,NULL,H
1517,חנף,<sup>c</sup>hánaf,חנפ,BEZOEDELEN,NULL,NULL,H
1518,רמן,r-m-l,רמנ,GRANAATAPPEL,NULL,NULL,H
1519,לאם,l-<sup>ʔ</sup>-m,לאמ,VOLKSSTAM,NULL,NULL,H
1520,ʾbhti,ʾbhti,ʾbhti,PORFIER,NULL,NULL,NULL
1521,חלק,<sup>c</sup>hálaq,חלק,VERDELEN,NULL,NULL,H
1522,חלק,<sup>c</sup>hálaq,חלק,GLAD,NULL,NULL,H
1523,בעל,bá<sup>ʕ</sup>al,בעל,BEZITTEN,NULL,NULL,H
1524,נכד,n-k-d,נכד,NAGESLACHT,NULL,NULL,H
1525,פחר,p-<sup>c</sup>h-r,פחר,POTTENBAKKER,NULL,NULL,H
1526,עיט,<sup>ʕ</sup>ájat,עיט,SCHREEUWEN,NULL,NULL,H
1527,כתת,ká-t<sup>h</sup>a-t<sup>h</sup>,כתת,STOTEN (vergruizen),NULL,NULL,H
1528,נכאת,n-k-<sup>ʔ</sup>-t<sup>h</sup>,נכאת,LADANUM,NULL,NULL,H
1529,יצק,já<sup>t</sup>saq,יצק,UITGIETEN,NULL,NULL,H
1530,צוק,<sup>t</sup>suq,צוק,NAUW,NULL,NULL,H
1531,נתך,ná-t<sup>h</sup>ac<sup>h</sup>,נתכ,UITSTROMEN,NULL,NULL,H
1532,שׁפך,s<sup>h</sup>áfac<sup>h</sup>,שפכ,VERGIETEN,NULL,NULL,H
1533,פדד,p-d-d,פדד,GEZUIVERD+GOUD,NULL,NULL,H
1534,פזז,pázaz,פזז,SOEPEL,NULL,NULL,H
1535,נא,n-<sup>ʔ</sup>,נא,TOCH,NULL,NULL,H
1536,צלה,<sup>t</sup>sáláh,צלה,BIDDEN,NULL,NULL,H
1537,קדם,qádam,קדמ,VOORGAAN,NULL,NULL,H
1538,יקר,jáqar,יקר,GEWICHTIG,NULL,NULL,H
1539,ירט,járat,ירט,NEER+LEIDEN,NULL,NULL,H
1540,סגן,s-g-l,סגנ,BESTUURDER,NULL,NULL,H
1541,מנח,m-n-<sup>c</sup>h,מנח,GAVE,NULL,NULL,H
1542,עוק,<sup>ʕ</sup>uq,עוק,NEERDRUKKEN,NULL,NULL,H
1543,דחף,dá<sup>c</sup>haf,דחפ,WEGDUWEN,NULL,NULL,H
1544,דבלה,d-b-l-h,דבלה,VIJGENKOEK,NULL,NULL,H
1545,טרף,táraf,טרפ,STUKKEN+SCHEUREN,NULL,NULL,H
1546,חדק,<sup>c</sup>h-d-q,חדק,NACHTSCHADE,NULL,NULL,H
1547,כהן,káhan,כהנ,PRIESTER,NULL,NULL,H
1548,נסה,násáh,נסה,BEPROEVEN,NULL,NULL,H
1549,כרז,káraz,כרז,VERKONDIGEN,NULL,NULL,H
1550,נוב,nuv,נוב,VRUCHT+DRAGEN,NULL,NULL,H
1551,אשׁר,<sup>ʔ</sup>ás<sup>h</sup>ar,אשר,SCHRIJDEN,NULL,NULL,H
1552,אשׁר,<sup>ʔ</sup>ás<sup>h</sup>ar,אשר,GELUKKIG,NULL,NULL,H
1553,אשׁרה,<sup>ʔ</sup>-s<sup>h</sup>-r-h,אשרה,LEVENDE+BOOM,NULL,NULL,H
1554,אשׁרן,<sup>ʔ</sup>-s<sup>h</sup>-r-l,אשרנ,HEILIGDOM,NULL,NULL,H
1555,שׁלב,s<sup>h</sup>álav,שלב,DWARSHOUT,NULL,NULL,H
1556,דגה,dágáh,דגה,VERMENIGVULDIGEN,NULL,NULL,H
1557,דג,d-g,דג,VIS,NULL,NULL,H
1558,דגן,d-g-l,דגנ,KOREN,NULL,NULL,H
1559,הר,h-r,הר,BERG,NULL,NULL,H
1560,הרה,háráh,הרה,ZWANGER,NULL,NULL,H
1561,הרר,h-r-r,הרר,VERBEELDEN,NULL,NULL,H
1562,הראל,h-r-<sup>ʔ</sup>-l,הראל,BRANDOFFERALTAAR,NULL,NULL,H
1563,גהר,gáhar,גהר,HURKEN,NULL,NULL,H
1564,קלשׁון,q-l-s<sup>h</sup>-w-l,קלשונ,GESLEPEN+IJZER,NULL,NULL,H
1565,נין,nájan,נינ,UITLOPEN,NULL,NULL,H
1566,מנן,m-n-l,מננ,ONGEWILLIG,NULL,NULL,H
1567,נבא,nává<sup>ʔ</sup>,נבא,PROFEET,NULL,NULL,H
