vid,Woord,id
12007015,20,195
12007015,21,77441
12007015,22,62748
12008001,17,38216
12008010,8,3757
12008010,9,62414
12008017,12,6822
12009015,39,3862
12009015,40,20414
12009025,5,65606
12009025,6,62412
12009033,3,68154
12009033,4,62806
12009037,1,782
12009037,2,1546
12010027,16,3862
12010027,17,85960
12011001,5,3269
12011002,23,648
12011002,24,14967
12011004,13,648
12011004,14,28299
12011009,4,648
12011009,5,28299
12011010,7,648
12011010,8,28299
12011015,8,648
12011015,9,28300
12011018,14,33837
12011018,15,62411
12011020,19,648
12011020,20,39435
12012010,21,5229
12012010,22,39146
12012012,9,22900
12012012,13,648
12012012,14,47509
12013006,9,46817
12014002,22,86055
12014006,37,14952
12014007,7,39670
12014012,10,3862
12014012,11,27407
12014012,12,62431
12014013,16,778
12014013,17,15843
12015025,18,648
12015025,19,39423
12016006,21,783
12016006,22,77571
12016015,1,778
12016015,2,14232
12016017,16,611
12016018,3,86239
12017013,12,47049
12017016,14,6939
12017021,14,778
12017021,15,76650
12017031,23,459
12017031,24,86277
12018027,37,86385
12018027,38,62748
12018027,43,2123
12018027,44,32917
12018027,45,62755
12019023,9,195
12019023,10,42847
12019023,30,24342
12019023,31,62392
12020004,6,50707
12020013,12,86555
12020013,13,62392
12020018,11,13694
12021012,17,19839
12021012,18,62805
12022005,1,779
12022005,2,7820
12022005,3,62415
12022005,11,30354
12023010,9,21267
12023033,11,5229
12023033,12,57040
12023036,21,86711
12024010,6,11136
12024014,17,45218
12024015,22,41940
12024018,21,86663
12025017,19,30554
13001011,5,35735
13001046,22,57168
13001051,11,57209
13002016,1,779
13002016,2,27692
13002016,3,62755
13002055,4,27103
13003024,4,97260
13004007,5,779
13004007,6,49178
13004020,8,779
13004020,9,97325
13004041,20,648
13004041,21,96208
13006011,2,21193
13006020,2,81446
13007001,8,75543
13007010,8,56868
13007031,9,97474
13007034,5,779
13007034,6,97484
13007034,7,779
13007034,8,97486
13008025,3,780
13008025,4,97274
13009004,9,84446
13009004,10,5233
13009033,13,82609
13009035,7,96725
13011011,13,648
13011011,14,65599
13011017,1,778
13011017,2,73829
13011020,20,779
13011020,21,3789
13011020,22,62413
13011044,5,784
13011044,6,96726
13012003,11,785
13012003,12,97639
13012006,10,648
13012006,11,97651
13012016,18,78840
13012016,19,62411
13012019,7,648
13012019,8,65600
13014001,3,83314
13014010,11,35805
13015024,17,97689
13018010,11,3766
13018010,12,49967
13020005,11,97714
13022007,6,21365
13022007,7,62495
13023009,3,72744
13024024,7,97765
13025001,17,649
13025001,18,73949
13026025,21,780
13026025,22,72745
13027012,11,3762
13027012,12,650
13027012,13,21260
13027012,14,75518
13027029,10,97822
13029016,23,62340
14003017,21,648
14003017,22,70002
14004011,17,83315
14005012,45,97690
14005013,5,3762
14005013,6,650
14005013,7,97694
14007006,38,97691
14008010,4,648
14008010,5,43363
14008018,10,61420
14009010,4,83299
14009029,28,97845
14011018,9,28510
14013014,20,97690
14013019,26,97854
14017008,13,780
14017008,14,97672
14018008,11,81205
14018033,28,22817
14018033,29,62604
14024025,11,195
14024025,12,97879
14024027,4,8733
14025017,18,13392
14026003,21,86097
14026007,10,651
14026007,11,96892
14026011,18,96724
14026021,14,649
14026021,15,86100
14029008,12,3862
14029008,13,77780
14029013,6,785
14029013,7,96727
14029014,5,96680
14029028,13,97692
14031012,18,97890
14031013,24,97891
14032021,31,780
14032021,32,5248
18019029,14,77272
14033016,1,778
14033016,2,17252
14034005,6,33832
14034005,7,62748
14034006,12,195
14034006,13,73273
14034006,14,62755
14034009,41,778
14034009,42,21859
14034022,15,97899
14034025,5,783
14034025,6,69932
14035003,6,648
14035003,7,58999
14035004,1,779
14035004,2,58828
14035009,1,786
14035009,2,97892
14036014,10,3766
14036014,11,71274
14036017,7,37387
15002001,14,86741
15002046,4,96185
15002050,4,96207
15002050,6,96210
15003003,17,778
15003003,18,10736
15004002,24,779
15004002,25,3761
15004002,26,62433
15004004,10,787
15004004,11,60070
15004007,11,96284
15004007,12,62411
15004007,14,96281
15004009,17,96321
15004009,20,96324
15004011,11,93579
15004011,12,94397
15004012,19,89727
15004012,20,96350
15004012,22,89726
15004012,23,96353
15004012,24,96360
15004023,7,96307
15005001,4,96415
15005001,9,96418
15005002,23,96419
15005012,17,37398
15005015,5,96507
15006014,10,96416
15006017,18,89610
15006017,19,96567
15007018,4,93968
15007018,5,94397
15007018,8,96621
15007018,9,94397
15007025,18,96638
15007026,25,89612
15007026,26,96641
15008014,6,779
15008014,7,74081
15008017,1,781
15008017,2,14220
15008017,25,648
15008017,26,96169
15008025,1,781
15008025,2,49248
15010002,8,96326
15010012,11,9196
15010012,12,36373
15010012,13,62594
15010029,12,779
15010029,13,96838
15010035,3,96858
15010037,3,779
15010037,4,96861
15010043,8,96875
15010044,3,26208
16001001,9,91643
16001009,25,778
16001009,26,15609
16001009,27,62738
16002013,24,19415
16002013,25,52529
16003015,20,779
16003015,21,43873
16003020,7,96091
16003030,1,28420
16003030,2,62411
16003031,1,28422
16003031,2,62411
16004007,13,198
16004007,14,650
16004007,15,90827
16004009,19,778
16004009,20,22103
16005009,1,781
16005009,2,2219
16007003,1,781
16007003,2,2218
16007052,6,96973
16009006,7,20597
16009017,41,46381
16010020,3,97013
16011017,29,97071
16012009,3,779
16012009,4,97094
16012014,1,3766
16012014,2,97101
16012016,1,3862
16012016,2,84595
16012046,9,12339
16013023,13,79431
16013023,14,76318
17001016,3,93216
17003004,3,9166
17003004,4,2189
17003004,5,62748
17004004,1,788
17004004,2,15905
17004007,25,198
17004007,26,650
17004007,27,86204
17008001,18,648
17008001,19,86206
17008007,33,198
17008007,34,650
17008007,35,86219
17008013,20,648
17008013,21,86220
17008013,22,78572
17009015,3,648
17009015,4,86209
17009018,1,779
17009018,2,648
17009018,3,86209
17009019,5,648
17009019,6,76431
17009027,2,779
17009027,3,69039
17010001,5,93154
18001004,18,27693
18001004,19,62754
18001010,3,20609
18001021,4,6529
18002007,20,779
18002007,21,21535
18005018,7,779
18005018,8,22910
18005018,9,62411
18006002,6,789
18006002,7,91726
18006002,8,62495
18006021,4,3772
18006021,5,62412
18006029,6,779
18006029,7,21900
18007001,6,1711
18007005,5,779
18007005,6,92398
18009013,6,5385
18009013,7,62411
18009030,3,201
18009030,4,2124
18010020,6,778
18010020,7,37246
18010020,8,779
18010020,9,20739
18013015,4,3761
18013015,5,62412
18014005,10,60691
18014005,11,62411
18015015,2,203
18015015,3,67286
18015015,4,62411
18015022,6,779
18015022,7,55103
18015031,3,198
18015031,4,650
18015031,5,67448
18016016,3,92469
18019029,13,29231
18020011,4,89043
18020011,5,62411
18021013,1,9622
18021020,2,19164
18021020,3,62411
18024001,7,789
18024001,8,18860
18024001,9,62411
18024006,6,72331
18026012,7,790
18026012,8,202
18026012,9,70339
18026012,10,62412
18026014,4,23581
18026014,5,62411
18026014,15,70493
18026014,16,62411
18027015,1,74907
18027015,2,62411
18030011,2,81118
18030011,3,62495
18030022,10,88355
18031011,2,12687
18031011,4,789
18031011,5,62346
18031020,5,56684
18031020,6,62411
18033019,8,779
18033019,9,42855
18033021,6,779
18033021,7,87563
18033028,2,8002
18033028,3,62406
18033028,9,789
18033028,10,89082
18033028,11,62414
18037012,5,195
18037012,6,92606
18037012,7,62411
18038001,6,5284
18038001,7,648
18038001,8,85779
18038012,7,19009
18038012,8,648
18038012,9,46071
18038041,9,27791
18038041,10,62411
18039012,6,21675
18039026,8,8372
18039026,9,62411
18039030,1,779
18039030,2,77504
18039030,3,62411
18040006,6,5284
18040006,7,85780
18040017,7,92637
18040017,8,62411
18041004,1,3758
18041004,2,62379
18042002,1,18886
18042010,5,78148
18042011,10,27694
18042011,11,62411
18042016,10,778
18042016,11,2928
19005009,10,75257
19006004,6,779
19006004,7,20599
19009013,10,74013
19009019,8,67994
19010005,2,23594
19010005,3,62434
19010010,1,91774
19010010,8,56241
19010010,9,91775
19010012,9,74013
19011001,14,25839
19017011,4,12583
19017011,5,62543
19017014,15,787
