id,vidBegin,Woord,type,par,cit
875,66003006,,p,1,0
876,66008013,,p,1,0
877,66010005,,p,1,0
878,66012007,,p,1,0
879,66012009,,p,1,0
880,66014011,,p,1,0
881,66016002,,p,1,0
882,66016003,,p,1,0
883,66016004,,p,1,0
884,66016008,,p,1,0
885,66016010,,p,1,0
886,66016012,,p,1,0
887,66016017,,p,1,0
888,66018024,,p,1,0
889,66018004,,p,1,0
890,66018006,,p,1,0
891,66019017,,p,1,0
892,66020004,,p,1,0
893,66020013,,p,1,0
895,41001003,-1,in*,0,0
896,41001003,,in,0,0
897,41001003,9,in*,0,0
898,41001003,9,in,0,0
899,41001003,-1,qml*,0,0
902,41001003,16,in*,0,0
903,41001003,16,in,0,0
904,41001006,,p,1,0
905,41001009,,p,1,0
906,41001012,,p,1,0
907,41001014,,p,1,0
908,41001016,,p,1,0
909,41001021,,p,1,0
910,41001023,,p,1,0
911,41001027,,p,1,0
912,41001029,,p,1,0
913,41001032,,p,1,0
914,41001035,,p,1,0
915,41001040,,p,1,0
916,41001045,,p,1,0
917,41002001,,p,1,0
918,41002003,,p,1,0
919,41002006,,p,1,0
920,41002010,,p,1,0
921,41002013,,p,1,0
922,41002018,,p,1,0
923,41002021,,p,1,0
924,41002023,,p,1,0
925,41003001,,p,1,0
926,41003003,,p,1,0
927,41003007,,p,1,0
928,41003013,,p,1,0
930,41003023,,p,1,0
931,41003028,,p,1,0
932,41003031,,p,1,0
933,41004001,,p,1,0
934,41004002,,p,1,0
935,41004010,,p,1,0
936,41004013,,p,1,0
937,41004016,,p,1,0
938,41004018,,p,1,0
939,41004020,,p,1,0
940,41004021,,p,1,0
941,41004024,,p,1,0
942,41004026,,p,1,0
943,41004030,,p,1,0
944,41004035,,p,1,0
945,41005001,,p,1,0
946,41005006,,p,1,0
947,41005011,,p,1,0
948,41005014,,p,1,0
949,41005021,,p,1,0
950,41005025,,p,1,0
951,41005030,,p,1,0
952,41005033,,p,1,0
953,41005035,,p,1,0
954,41005037,,p,1,0
955,41005039,,p,1,0
956,41006001,,p,1,0
957,41006004,,p,1,0
958,41006006,9,p,1,0
959,41006010,,p,1,0
960,41006012,,p,1,0
961,41006014,,p,1,0
962,41006017,,p,1,0
963,41006021,,p,1,0
964,41006024,,p,1,0
965,41006027,,p,1,0
966,41006029,,p,1,0
967,41006030,,p,1,0
968,41006033,,p,1,0
969,41006035,,p,1,0
970,41006038,,p,1,0
971,41006041,,p,1,0
972,41006045,,p,1,0
973,41006047,,p,1,0
974,41006049,,p,1,0
975,41006053,,p,1,0
976,41007001,,p,1,0
977,41007006,20,qml,0,0
978,41007006,20,in,0,0
979,41007006,27,in*,0,0
980,41007006,27,in,0,0
981,41007006,-1,in*,0,0
982,41007007,,in,0,0
983,41007007,5,in*,0,0
984,41007007,5,in,0,0
985,41007007,-1,in*,0,0
986,41007007,-1,qml*,0,0
987,41007009,,p,1,0
988,41007014,,p,1,0
989,41007017,,p,1,0
990,41007024,,p,1,0
991,41007028,,p,1,0
992,41007031,,p,1,0
993,41008001,,p,1,0
994,41008004,,p,1,0
995,41008010,,p,1,0
996,41008022,,p,1,0
997,41008027,,p,1,0
998,41008034,,p,1,0
999,41009001,,p,1,0
1000,41009005,,p,1,0
1001,41009009,,p,1,0
1002,41009014,,p,1,0
1003,41009019,,p,1,0
1004,41009025,,p,1,0
1005,41009028,,p,1,0
1006,41009030,,p,1,0
1007,41009033,,p,1,0
1008,41009038,,p,1,0
1009,41009042,,p,1,0
1010,41010001,,p,1,0
1011,41010010,,p,1,0
1012,41010013,,p,1,0
1013,41010017,,p,1,0
1014,41010020,,p,1,0
1015,41010023,,p,1,0
1017,41010028,,p,1,0
1018,41010032,,p,1,0
1019,41010035,,p,1,0
1020,41010041,,p,1,0
1021,41010046,,p,1,0
1022,41010047,,p,1,0
1023,41010049,,p,1,0
1024,41011001,,p,1,0
1025,41011004,,p,1,0
1026,41011008,,p,1,0
1027,41011011,,p,1,0
1028,41011015,,p,1,0
1029,41011018,,p,1,0
1030,41011020,,p,1,0
1031,41011024,,p,1,0
1032,41011027,,p,1,0
1033,41012001,,p,1,0
1034,41012006,,p,1,0
1035,41012009,,p,1,0
1036,41012010,9,qml,0,0
1037,41012010,9,in,0,0
1038,41012010,16,in*,0,0
1039,41012010,16,in,0,0
1040,41012010,-1,in*,0,0
1041,41012011,,in,0,0
1042,41012011,-1,in*,0,0
1043,41012011,-1,qml*,0,0
1044,41012012,,p,1,0
1045,41012013,,p,1,0
1046,41012015,9,p,1,0
1047,41012018,,p,1,0
1049,41012024,,p,1,0
1050,41012028,,p,1,0
1051,41012032,,p,1,0
1052,41012034,,p,1,0
1053,41012035,,p,1,0
1054,41012036,11,q,0,1
1055,41012036,11,in,0,0
1056,41012036,23,in*,0,0
1057,41012036,23,in,0,0
1058,41012036,-1,in*,0,0
1059,41012036,-1,q*,0,0
1060,41012038,,p,1,0
1061,41012041,,p,1,0
1062,41013001,,p,1,0
1063,41013003,,p,1,0
1065,41013005,,p,1,0
1066,41013011,,p,1,0
1067,41013014,,p,1,0
1068,41013017,,p,1,0
1069,41013021,,p,1,0
1070,41013028,,p,1,0
1071,41013032,,p,1,0
1072,41013034,,p,1,0
1073,41014001,,p,1,0
1074,41014003,,p,1,0
1075,41014004,,p,1,0
1076,41014010,,p,1,0
1077,41014012,,p,1,0
1078,41014017,,p,1,0
1079,41014022,,p,1,0
1080,41014027,,p,1,0
1081,41014027,17,q,0,1
1082,41014027,17,in,0,0
1083,41014027,21,in*,0,0
1084,41014027,21,in,0,0
1085,41014027,-1,in*,0,0
1086,41014027,-1,q*,0,0
1089,41014031,,p,1,0
1090,41014032,,p,1,0
1091,41014037,,p,1,0
1092,41014039,,p,1,0
1093,41014043,,p,1,0
1094,41014048,,p,1,0
1095,41014050,,p,1,0
1096,41014053,,p,1,0
1097,41014055,,p,1,0
1098,41014060,,p,1,0
1099,41014062,,p,1,0
1100,41014063,,p,1,0
1101,41014064,11,p,1,0
1102,41014066,,p,1,0
1103,41014069,,p,1,0
1104,41015001,,p,1,0
