id,tekst,vid,WoordVan,WoordTot,WoordVan_v,WoordTot_v
461,K/Q,14013014,20,20,20,20
462,K/Q,14013019,27,27,26,26
463,K/Q,14017008,13,14,13,14
464,K/Q,14018008,11,11,11,11
465,K/Q,14018033,28,29,28,29
466,K/Q,14024025,11,12,11,12
467,K/Q,14024027,4,5,4,4
468,K/Q,14025017,18,18,18,18
469,K/Q,14026003,21,21,21,21
470,K/Q,14026007,10,11,10,11
471,K/Q,14026011,18,18,18,18
472,K/Q,14026021,14,15,14,15
473,K/Q,14029008,12,13,12,13
474,K/Q,14029013,6,7,6,7
475,K/Q,14029014,5,5,5,5
476,K/Q,14029028,13,13,13,13
477,K/Q,14031012,18,18,18,18
478,K/Q,14031013,24,24,24,24
479,K/Q,14032021,31,34,31,33
480,K/Q,14033016,1,2,1,2
481,K/Q,14034005,6,6,6,7
482,K/Q,14034006,12,15,12,14
483,K/Q,14034009,41,42,41,42
484,K/Q,14034022,15,15,15,15
485,K/Q,14034025,5,6,5,6
486,K/Q,14035003,6,7,6,7
487,K/Q,14035004,1,2,1,2
488,K/Q,14035009,1,2,1,2
489,K/Q,14036014,10,11,10,11
490,K/Q,14036017,7,7,7,7
491,K/Q,15002001,14,14,14,14
492,K/Q,15002046,4,4,4,4
493,K/Q,15002050,4,4,4,4
494,K/Q,15002050,6,6,6,6
495,K/Q,15003003,17,18,17,18
496,K/Q,15004002,24,25,24,26
497,K/Q,15004004,10,11,10,11
498,K/Q,15004007,11,12,11,12
499,K/Q,15004007,14,14,14,14
500,K/Q,15004009,17,17,17,17
501,K/Q,15004009,20,21,20,20
502,K/Q,15004011,11,12,11,12
503,K/Q,15004012,19,20,19,20
504,K/Q,15004012,22,24,22,24
505,K/Q,15004023,7,7,7,7
506,K/Q,15005001,4,4,4,4
507,K/Q,15005001,9,9,9,9
508,K/Q,15005002,23,23,23,23
509,K/Q,15005012,17,17,17,17
510,K/Q,15005015,5,5,5,5
511,K/Q,15006014,10,10,10,10
512,K/Q,15006017,18,19,18,19
513,K/Q,15007018,4,5,4,5
514,K/Q,15007018,8,9,8,9
515,K/Q,15007025,18,18,18,18
516,K/Q,15007026,25,26,25,26
517,K/Q,15008014,6,7,6,7
518,K/Q,15008017,1,2,1,2
519,K/Q,15008017,25,26,25,26
520,K/Q,15008025,1,2,1,2
521,K/Q,15010002,8,8,8,8
522,K/Q,15010012,11,13,11,13
523,K/Q,15010029,12,12,12,13
524,K/Q,15010035,3,3,3,3
525,K/Q,15010037,3,4,3,4
526,K/Q,15010043,8,8,8,8
527,K/Q,15010044,3,3,3,3
528,K/Q,16001001,9,9,9,9
529,K/Q,16001009,25,27,25,27
530,K/Q,16002013,25,26,24,25
531,K/Q,16003015,21,22,20,21
532,K/Q,16003020,7,7,7,7
533,K/Q,16003030,1,2,1,2
534,K/Q,16003031,1,2,1,2
535,K/Q,16004007,13,15,13,15
536,K/Q,16004009,19,20,19,20
537,K/Q,16005009,1,2,1,2
538,K/Q,16007003,1,2,1,2
539,K/Q,16007052,6,6,6,6
540,K/Q,16009006,7,7,7,7
541,K/Q,16009017,41,42,41,41
